Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,source_league,source_season,source_provider
BUNDESLIGA,13/08/2021,Borussia Mönchengladbach,FC Bayern München,1,1,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,14/08/2021,1. FC Union Berlin,Bayer 04 Leverkusen,1,1,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,14/08/2021,Arminia Bielefeld,SC Freiburg,0,0,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,14/08/2021,Borussia Dortmund,Eintracht Frankfurt,5,2,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,14/08/2021,FC Augsburg,TSG 1899 Hoffenheim,0,4,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,14/08/2021,VfB Stuttgart,SpVgg Greuther Fürth 1903,5,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,14/08/2021,VfL Wolfsburg,VfL Bochum 1848,1,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,15/08/2021,1. FC Köln,Hertha BSC,3,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,15/08/2021,1. FSV Mainz 05,RB Leipzig,1,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,20/08/2021,RB Leipzig,VfB Stuttgart,4,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,21/08/2021,Bayer 04 Leverkusen,Borussia Mönchengladbach,4,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,21/08/2021,Eintracht Frankfurt,FC Augsburg,0,0,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,21/08/2021,Hertha BSC,VfL Wolfsburg,1,2,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,21/08/2021,SC Freiburg,Borussia Dortmund,2,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,21/08/2021,SpVgg Greuther Fürth 1903,Arminia Bielefeld,1,1,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,21/08/2021,VfL Bochum 1848,1. FSV Mainz 05,2,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,22/08/2021,FC Bayern München,1. FC Köln,3,2,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,22/08/2021,TSG 1899 Hoffenheim,1. FC Union Berlin,2,2,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,27/08/2021,Borussia Dortmund,TSG 1899 Hoffenheim,3,2,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,28/08/2021,1. FC Köln,VfL Bochum 1848,2,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,28/08/2021,1. FSV Mainz 05,SpVgg Greuther Fürth 1903,3,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,28/08/2021,Arminia Bielefeld,Eintracht Frankfurt,1,1,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,28/08/2021,FC Augsburg,Bayer 04 Leverkusen,1,4,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,28/08/2021,FC Bayern München,Hertha BSC,5,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,28/08/2021,VfB Stuttgart,SC Freiburg,2,3,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,29/08/2021,1. FC Union Berlin,Borussia Mönchengladbach,2,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,29/08/2021,VfL Wolfsburg,RB Leipzig,1,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,11/09/2021,1. FC Union Berlin,FC Augsburg,0,0,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,11/09/2021,Bayer 04 Leverkusen,Borussia Dortmund,3,4,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,11/09/2021,RB Leipzig,FC Bayern München,1,4,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,11/09/2021,SC Freiburg,1. FC Köln,1,1,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,11/09/2021,SpVgg Greuther Fürth 1903,VfL Wolfsburg,0,2,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,11/09/2021,TSG 1899 Hoffenheim,1. FSV Mainz 05,0,2,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,12/09/2021,Borussia Mönchengladbach,Arminia Bielefeld,3,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,12/09/2021,Eintracht Frankfurt,VfB Stuttgart,1,1,D,BUNDESLIGA,2021-22,openfootball
