Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,source_league,source_season,source_provider
LIGUE1,06/08/2021,AS Monaco,FC Nantes,1,1,D,LIGUE1,2021-22,openfootball
LIGUE1,07/08/2021,ESTAC Troyes,Paris Saint-Germain,1,2,A,LIGUE1,2021-22,openfootball
LIGUE1,07/08/2021,Olympique Lyonnais,Stade Brestois 29,1,1,D,LIGUE1,2021-22,openfootball
LIGUE1,08/08/2021,AS Saint-Étienne,FC Lorient,1,1,D,LIGUE1,2021-22,openfootball
LIGUE1,08/08/2021,FC Metz,Lille OSC,3,3,D,LIGUE1,2021-22,openfootball
LIGUE1,08/08/2021,Girondins Bordeaux,Clermont Foot 63,0,2,A,LIGUE1,2021-22,openfootball
LIGUE1,08/08/2021,Montpellier HSC,Olympique Marseille,2,3,A,LIGUE1,2021-22,openfootball
LIGUE1,08/08/2021,OGC Nice,Stade de Reims,0,0,D,LIGUE1,2021-22,openfootball
LIGUE1,08/08/2021,RC Strasbourg,Angers SCO,0,2,A,LIGUE1,2021-22,openfootball
LIGUE1,08/08/2021,Stade Rennais,RC Lens,1,1,D,LIGUE1,2021-22,openfootball
LIGUE1,13/08/2021,FC Lorient,AS Monaco,1,0,H,LIGUE1,2021-22,openfootball
LIGUE1,14/08/2021,Lille OSC,OGC Nice,0,4,A,LIGUE1,2021-22,openfootball
LIGUE1,14/08/2021,Paris Saint-Germain,RC Strasbourg,4,2,H,LIGUE1,2021-22,openfootball
LIGUE1,15/08/2021,Angers SCO,Olympique Lyonnais,3,0,H,LIGUE1,2021-22,openfootball
LIGUE1,15/08/2021,Clermont Foot 63,ESTAC Troyes,2,0,H,LIGUE1,2021-22,openfootball
LIGUE1,15/08/2021,FC Nantes,FC Metz,2,0,H,LIGUE1,2021-22,openfootball
LIGUE1,15/08/2021,Olympique Marseille,Girondins Bordeaux,2,2,D,LIGUE1,2021-22,openfootball
LIGUE1,15/08/2021,RC Lens,AS Saint-Étienne,2,2,D,LIGUE1,2021-22,openfootball
LIGUE1,15/08/2021,Stade Brestois 29,Stade Rennais,1,1,D,LIGUE1,2021-22,openfootball
LIGUE1,15/08/2021,Stade de Reims,Montpellier HSC,3,3,D,LIGUE1,2021-22,openfootball
LIGUE1,20/08/2021,Stade Brestois 29,Paris Saint-Germain,2,4,A,LIGUE1,2021-22,openfootball
LIGUE1,21/08/2021,AS Monaco,RC Lens,0,2,A,LIGUE1,2021-22,openfootball
LIGUE1,21/08/2021,AS Saint-Étienne,Lille OSC,1,1,D,LIGUE1,2021-22,openfootball
LIGUE1,22/08/2021,FC Metz,Stade de Reims,1,1,D,LIGUE1,2021-22,openfootball
LIGUE1,22/08/2021,Girondins Bordeaux,Angers SCO,1,1,D,LIGUE1,2021-22,openfootball
LIGUE1,22/08/2021,Montpellier HSC,FC Lorient,3,1,H,LIGUE1,2021-22,openfootball
